repo_name,avg_lifespan
Modernizr/Modernizr,356.58
academic/awesome-datascience,142.03
anoma/anoma,185.73333333333332
bigskysoftware/htmx,368.8
composer/composer,1855.7551020408164
create-t3-app,191.47619047619048
crewAIInc/crewAI,68.94845360824742
deezer/spleeter,382.61538461538464
derailed/k9s,385.56
discordjs/discord.js,828.2626262626262
duckdb ,711.1237113402062
fastapi/full-stack-fastapi-template,240.73015873015873
foundation/foundation-sites,702.9
fyne-io/fyne,197.44329896907217
gchq/CyberChef,383.38
geekan/MetaGPT,89.99
google/material-design-lite,98.74
hashicorp/vagrant,798.3404255319149
iced-rs/iced,277.55
isocpp/CppCoreGuidelines,515.13
microsoft/cascadia-code,491.6842105263158
mpv-player/mpv,1730.3737373737374
node,129.2929292929293
numpy/numpy,2205.08
opendatalab/MinerU,58.96969696969697
outline/outline,244.62886597938143
react-hook-form/react-hook-form,235.05102040816325
react-spring,156.57575757575756
refined-github/refined-github,452.69
remy/nodemon,129.2929292929293
rxhanson/Rectangle,135.98
sequelize/sequelize,740.5208333333334
simonbengtsson/jsPDF-AutoTable,178.47916666666666
siyuan-note/siyuan,361.6619718309859
srs,519.6666666666666
unclecode/crawl4ai,25.193548387096776
unslothai/unsloth,100.84375
vercel/swr,170.17
vscodium,189.8989898989899
vuejs/vue-cli,399.69
vuejs/vuex,294.42424242424244
